ID cm200000815_589e2304aae9ea6d15bee4e6 | Name: Bobbi Brown Brand Page Views 
ID cm200000815_589e2333506c8f4ea856e2ef | Name: Estee Lauder Brand Page Views 
ID cm200000815_56672017e4b04c2a92f620cb | Name: Total Order Value 
ID cm200000815_56e6aa09dac38c48cdf32569 | Name: Average Page Load Time 
ID cm200000815_571da7bda1bfa24c30d21824 | Name: AMO Avg. Quality Score 
ID cm200000815_571da7be3b991236c272c330 | Name: AMO Avg. Position 
ID cm200000815_571da7bee16ac003acdcc1d3 | Name: AMO ROAS 
ID cm200000815_571da7bf41c44bb9b430080c | Name: AMO CPC 
ID cm200000815_571da7bfdac38c35619342fa | Name: AMO CTR 
ID cm200000815_57987c3ee16ac04fa1b59686 | Name: Overall Conversion 
ID cm200000815_58655980aae9ea6d15f7e413 | Name: Desktop Product Views 
ID cm200000815_58655a633b99123f00354989 | Name: Mobile Product Views 
ID cm200000815_58656a46aae9ea6d15f7e414 | Name: IOS App Product Views 
ID cm200000815_58656a973b99123f0035498a | Name: Android App Product Views 
ID cm200000815_58942e6e311b65661d46aa22 | Name: Product Views (iOS App) 
ID cm200000815_58942f2a41c44bf51eec82d9 | Name: Cart Additions (iOS App) 
ID cm200000815_58942f67311b65661d46aa23 | Name: Add to Wishlist (iOS App) 
ID cm200000815_58942fa93916f6706d69424e | Name: Orders (iOS App) 
ID cm200000815_58942ff5311b65661d46aa24 | Name: Product Views (Android App) 
ID cm200000815_589430563b99123f00c2f27f | Name: Cart Additions (Android App) 
ID cm200000815_5894308b506c8f4ea856e19f | Name: Add to Wishlist (Android App) 
ID cm200000815_589430b7506c8f4ea856e1a0 | Name: Orders (Android App) 
ID cm200000815_5894315e98ca3a717c8f94b9 | Name: Product Views (Desktop) 
ID cm200000815_58943190aae9ea6d15bee3b8 | Name: Cart Additions (Desktop) 
ID cm200000815_589431dc41c44bf51eec82e0 | Name: Add to Wishlist (Desktop) 
ID cm200000815_5894322b3b99123f00c2f288 | Name: Orders (Desktop) 
ID cm200000815_58943298b9b6c37440556bad | Name: Product Views (Mobile) 
ID cm200000815_589432c541c44bf51eec82e1 | Name: Cart Additions (Mobile) 
ID cm200000815_5894330641c44bf51eec82e2 | Name: Add to Wishlist (Mobile) 
ID cm200000815_5894332a98ca3a717c8f94bc | Name: Orders (Mobile) 
ID cm200000815_58a583784f278f7e20c703b7 | Name: checkout(value<500) 
ID cm200000815_58a583b2dac38c502858f4f0 | Name: checkout(500-700) 
ID cm200000815_58a583ef506c8f4ea856e43b | Name: checkout(700-900) 
ID cm200000815_58a5846caae9ea6d15bee655 | Name: checkout(900-1100) 
ID cm200000815_58a584c31a444f35c488f80e | Name: checkout(1100-1300) 
ID cm200000815_58a5850f2778f8651b6bfc15 | Name: checkout(1300-1500) 
ID cm200000815_58a58542311b65661d46acd0 | Name: checkout(>1500) 
