customer_id,coupon_freeship
809398,1
810617,1
812157,1
813782,1
815081,1
816528,1
818232,1
820097,1
821503,1
823867,1
825110,1
826354,1
827732,1
829455,1
830807,1
832491,0
834984,1
837069,1
839552,1
841389,0
842631,1
843837,1
845469,1
847469,1
848928,1
849973,1
851305,1
852329,1
853520,1
854965,1
856467,1
857082,1
858008,1
859243,1
860171,1
861673,1
862396,1
863234,1
864528,1
865835,1
866707,1
867497,1
868289,1
869549,1
871019,1
872562,1
873785,1
874930,1
876630,1
877518,1
879058,0
880279,1
881737,1
882903,1
884209,0
885386,1
886907,1
888649,1
889582,1
890796,1
891897,1
893253,1
894959,1
896504,1
897624,1
899232,1
900536,0
901516,1
903304,1
904233,1
905849,1
906947,1
908045,0
909251,1
910468,1
911889,1
913204,1
914840,0
915567,1
917334,1
918582,1
920126,1
921086,1
922650,1
924947,1
927074,1
929175,0
932087,1
933136,1
934914,1
936845,0
938859,0
941303,1
943415,1
946192,1
948245,1
949855,1
952198,1
954690,1
956318,1
957744,1
959321,1
961370,1
963687,1
966451,1
968382,1
970512,1
972048,1
4562199,1
570,1
2066,1
3125,1
4135,1
5147,1
5987,1
6930,1
7686,1
9010,1
10122,0
10838,1
11478,1
12182,1
13031,1
13821,1
14575,1
15311,0
16336,1
16986,1
17856,0
18403,1
19322,0
20088,1
21498,1
22237,1
22993,1
24030,0
25478,0
26725,1
27822,1
29236,1
30249,1
31939,1
34043,1
35529,0
36484,1
37424,1
38936,1
40483,1
41960,1
43933,1
45300,1
45991,1
46969,1
48261,1
49383,1
50352,1
50884,1
51430,1
52185,1
53233,0
54004,1
54688,0
56672,1
58373,1
59620,1
60884,1
62266,1
64307,1
66293,1
68123,1
69697,1
71199,1
72655,1
75264,0
76871,1
78831,1
82189,1
84368,1
87254,1
89976,1
91078,1
93569,1
94890,1
96252,1
98466,1
100185,1
102844,1
104766,0
105797,1
107033,1
108775,1
110474,1
112180,1
114347,1
116573,1
117919,1
119454,1
120759,1
123704,1
124986,0
126687,1
127546,1
128924,1
130369,1
131766,1
132868,1
134535,1
135719,1
137258,1
138332,1
139798,1
143283,1
144862,1
146320,1
147963,1
149120,1
151067,0
153680,1
155069,1
156402,1
157798,1
160019,1
161034,1
162703,1
164123,1
165261,1
166086,1
167836,1
169345,0
171005,1
172419,1
173573,1
188,1
999,0
2223,1
3134,1
4416,1
5243,1
6403,1
7077,1
7819,0
9231,1
10234,1
11117,1
11643,1
12356,1
13066,1
13897,1
14778,0
15387,1
16479,1
17105,1
17911,1
18556,1
19442,1
20585,0
21813,1
22467,1
23211,0
24401,1
25685,0
26899,0
27885,1
29372,0
30734,1
32410,0
34492,1
35800,1
36707,0
37554,1
39181,1
40775,1
42367,1
44196,1
45360,1
46122,1
47216,1
48640,1
49727,1
50590,0
50974,1
51524,1
52327,0
53312,1
54047,1
54884,1
57368,1
58669,1
59919,1
61076,1
63031,1
64534,1
66439,1
68185,1
69774,1
71474,1
73367,1
75696,1
77032,1
79259,0
82647,1
84978,1
87900,1
90136,1
91448,1
93634,1
95158,1
96341,1
99090,1
100568,1
103363,1
104986,1
105924,1
107168,1
109086,1
111143,1
112549,1
114986,1
116615,1
118352,1
119710,1
121086,1
124038,0
125115,0
127013,0
127769,1
129169,1
130721,1
131889,1
133013,1
134765,1
135952,1
137479,1
138473,0
139907,1
143762,1
145066,1
146830,1
148337,1
149254,1
151332,1
154012,1
155285,1
156580,1
158266,1
160222,1
161256,1
162877,1
164284,1
165346,1
166270,1
168121,1
169938,1
171218,1
172571,1
173676,1
174974,1
175921,1
177363,1
178459,1
179953,0
181012,1
182640,1
183817,1
185108,1
186212,0
187542,1
188409,1
189333,1
190385,1
191992,1
192924,1
194258,1
195540,1
196926,1
198207,1
198940,0
200059,0
201728,0
202905,1
204201,1
206036,1
208083,1
210296,1
212536,0
214369,1
216218,1
218607,1
220914,1
222610,1
224569,1
227251,1
228852,1
229709,0
231006,1
232321,1
233438,1
234523,1
235502,1
237331,1
238969,1
240142,0
241850,1
242903,1
244399,1
246610,1
248311,1
249990,0
251698,1
252636,0
253505,1
254756,1
256358,1
258645,0
260312,1
261419,1
263762,0
265805,1
267522,1
268953,1
270370,1
272035,1
273772,1
275084,1
276250,1
277365,1
279201,1
280440,1
281213,1
282320,1
282873,1
284437,1
285385,1
287127,0
289067,1
292815,1
294628,1
295783,1
297175,1
298181,1
299918,1
301033,1
302252,1
303222,1
304075,1
304636,1
305416,1
306608,1
307607,1
